trial,model_family,param_scaler,param_imbalance,param_model_family,param_rf_n_estimators,param_rf_max_depth,mcc,phi,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_lr,param_dt_max_depth,param_dt_min_samples_split,param_mlp_units,param_mlp_alpha,param_knn_k,param_lgb_n_estimators,param_lgb_num_leaves,param_lgb_lr,param_lr_C,param_lr_penalty,param_et_n_estimators,param_et_max_depth
0,rforest,standard,smote,rforest,35.0,3.0,0.2756961601944605,0.12906132038460066,,,,,,,,,,,,,,,
1,xgboost,robust,none,xgboost,,,0.01841614265988047,0.011033343871434531,102.0,7.0,0.0011238623122384508,,,,,,,,,,,,
2,dtree,robust,none,dtree,,,0.19684762378175327,0.48203062843319183,,,,12.0,10.0,,,,,,,,,,
3,mlp,none,none,mlp,,,0.12836939635238434,0.2801368065732294,,,,,,64,0.08050778165087023,,,,,,,,
4,knn,standard,smote,knn,,,0.17794004495655233,0.2988888888888889,,,,,,,,18.0,,,,,,,
5,lightgbm,minmax,none,lightgbm,,,0.18158480375314404,0.1436964920277606,,,,,,,,,153.0,97.0,0.004692208186011663,,,,
6,nb,standard,none,nb,,,0.19778314597922178,0.31009766044451664,,,,,,,,,,,,,,,
7,rforest,minmax,smote,rforest,126.0,12.0,0.2553432179927466,0.22387268327868104,,,,,,,,,,,,,,,
8,knn,robust,smote,knn,,,0.18226955470474807,0.35023809523809524,,,,,,,,7.0,,,,,,,
9,lightgbm,minmax,none,lightgbm,,,0.22960792373954322,0.31946742593506744,,,,,,,,,152.0,23.0,0.025483681661883566,,,,
10,nb,robust,smote,nb,,,0.19280869499428396,0.35711770587968883,,,,,,,,,,,,,,,
11,dtree,minmax,none,dtree,,,0.1829960798477228,0.5030403828197946,,,,15.0,9.0,,,,,,,,,,
12,dtree,robust,smote,dtree,,,0.18150048347325531,0.4196022544056191,,,,13.0,17.0,,,,,,,,,,
13,rforest,standard,smote,rforest,96.0,8.0,0.26169183613133723,0.19632608849615926,,,,,,,,,,,,,,,
14,mlp,robust,smote,mlp,,,0.18566379949981163,0.48926240062436577,,,,,,64_32,2.156203475705173e-05,,,,,,,,
15,mlp,minmax,none,mlp,,,0.22079349664374068,0.2986498610816923,,,,,,64_32,8.449023263251553e-05,,,,,,,,
16,lightgbm,none,none,lightgbm,,,0.21771129505534426,0.44139620564538906,,,,,,,,,86.0,19.0,0.16552786058713873,,,,
17,logreg,standard,smote,logreg,,,0.188696452316487,0.18993275002743248,,,,,,,,,,,,4.245920136444837,l2,,
18,dtree,robust,smote,dtree,,,0.1707392854848915,0.44103374255828937,,,,14.0,15.0,,,,,,,,,,
19,logreg,robust,smote,logreg,,,0.012203208277006999,0.003199519203838159,,,,,,,,,,,,0.0016713272966410312,l1,,
20,nb,robust,none,nb,,,0.19778314597922178,0.3167652962128132,,,,,,,,,,,,,,,
21,dtree,none,smote,dtree,,,0.14350720804459163,0.389367223862309,,,,17.0,20.0,,,,,,,,,,
22,dtree,minmax,none,dtree,,,0.15578651718582645,0.6510256410256411,,,,18.0,2.0,,,,,,,,,,
23,rforest,none,smote,rforest,22.0,9.0,0.23316256797803336,0.21206167364191822,,,,,,,,,,,,,,,
24,extratrees,robust,none,extratrees,,,0.231900825626239,0.16174908987232195,,,,,,,,,,,,,,31.0,15.0
25,nb,minmax,none,nb,,,0.19918476704277877,0.3218706871996802,,,,,,,,,,,,,,,
26,dtree,robust,none,dtree,,,0.1815026166986086,0.5307478632478634,,,,18.0,7.0,,,,,,,,,,
27,xgboost,minmax,smote,xgboost,,,0.23465232462996946,0.3316722699980164,146.0,10.0,0.48290077628284633,,,,,,,,,,,,
28,extratrees,none,none,extratrees,,,0.2388011699990209,0.10609340664006783,,,,,,,,,,,,,,119.0,7.0
29,extratrees,robust,smote,extratrees,,,0.23523538069728048,0.1735741609982051,,,,,,,,,,,,,,83.0,14.0
30,mlp,minmax,smote,mlp,,,0.21763193975823322,0.32886855877406285,,,,,,64,0.00023466263195250062,,,,,,,,
31,knn,none,smote,knn,,,0.12580723214067127,0.23326923076923078,,,,,,,,26.0,,,,,,,
32,mlp,minmax,smote,mlp,,,0.18929322195981482,0.37693457962741456,,,,,,64_32,0.0014639396549099393,,,,,,,,
33,dtree,minmax,smote,dtree,,,0.18793211561064826,0.45722174683342565,,,,10.0,3.0,,,,,,,,,,
34,lightgbm,none,smote,lightgbm,,,0.24001786577254328,0.23534916310132245,,,,,,,,,197.0,23.0,0.007677675918844064,,,,
35,xgboost,none,none,xgboost,,,0.20816701593542142,0.3150242889618797,139.0,5.0,0.49776153332938305,,,,,,,,,,,,
36,mlp,robust,none,mlp,,,0.237539351063031,0.2984613041112863,,,,,,32,0.0022844354557995964,,,,,,,,
37,extratrees,robust,none,extratrees,,,0.11809610731598308,0.04045689358237956,,,,,,,,,,,,,,175.0,3.0
38,knn,robust,smote,knn,,,0.20452088226066353,0.31799999999999995,,,,,,,,15.0,,,,,,,
39,lightgbm,minmax,none,lightgbm,,,0.05850442167023561,0.05249585552610938,,,,,,,,,134.0,97.0,0.0019001969736558379,,,,
