trial,model_family,param_scaler,param_imbalance,param_model_family,mcc,phi,param_lr_C,param_lr_penalty,param_dt_max_depth,param_dt_min_samples_split,param_et_n_estimators,param_et_max_depth,param_rf_n_estimators,param_rf_max_depth,param_mlp_units,param_mlp_alpha,param_knn_k,param_lgb_n_estimators,param_lgb_num_leaves,param_lgb_lr,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_lr
0,nb,standard,none,nb,0.19778314597922178,0.2635661877235133,,,,,,,,,,,,,,,,,
1,logreg,none,smote,logreg,0.2112262532456427,0.13369887325469712,0.0031026598745141306,l2,,,,,,,,,,,,,,,
2,dtree,standard,none,dtree,0.19663015240703188,0.33736410177827275,,,7.0,4.0,,,,,,,,,,,,,
3,extratrees,standard,none,extratrees,0.23275839605870188,0.13783313658107113,,,,,116.0,13.0,,,,,,,,,,,
4,extratrees,standard,smote,extratrees,0.27864525545363406,0.12790367829194674,,,,,155.0,8.0,,,,,,,,,,,
5,dtree,robust,none,dtree,0.18563806947857256,0.5126625034217167,,,13.0,8.0,,,,,,,,,,,,,
6,rforest,robust,none,rforest,0.2495386258374431,0.18310519651186322,,,,,,,156.0,17.0,,,,,,,,,
7,nb,none,smote,nb,0.19304673384864013,0.3119326923013025,,,,,,,,,,,,,,,,,
8,logreg,robust,smote,logreg,0.19108917003728135,0.19004779238830505,0.6289048012408942,l2,,,,,,,,,,,,,,,
9,dtree,none,none,dtree,0.24047006329644793,0.19267669888682562,,,3.0,11.0,,,,,,,,,,,,,
10,mlp,robust,none,mlp,0.15479617268262147,0.46533401518479484,,,,,,,,,64_32,5.939325546513371e-05,,,,,,,
11,nb,minmax,smote,nb,0.18594921437258063,0.31583954423725685,,,,,,,,,,,,,,,,,
12,extratrees,none,none,extratrees,0.2366330340515422,0.14484285107243083,,,,,191.0,16.0,,,,,,,,,,,
13,logreg,minmax,none,logreg,0.18105054720276045,0.09006502640622309,0.28266212078397884,l1,,,,,,,,,,,,,,,
14,mlp,minmax,none,mlp,0.21505778394903743,0.19437752687741802,,,,,,,,,64,0.020672035014253187,,,,,,,
15,rforest,standard,smote,rforest,0.24869407009191768,0.19267765457294464,,,,,,,77.0,12.0,,,,,,,,,
16,rforest,standard,none,rforest,0.24946921497968846,0.1802722297361922,,,,,,,123.0,14.0,,,,,,,,,
17,rforest,standard,none,rforest,0.24219382381765212,0.17425781624722206,,,,,,,104.0,8.0,,,,,,,,,
18,knn,robust,none,knn,0.22439451302565408,0.2331481481481481,,,,,,,,,,,9.0,,,,,,
19,mlp,standard,none,mlp,0.18727936461675385,0.42797420060644636,,,,,,,,,64_32,0.0629830902555282,,,,,,,
20,logreg,standard,none,logreg,0.18914045620105438,0.147838452497279,0.17011051524893722,l2,,,,,,,,,,,,,,,
21,logreg,minmax,none,logreg,0.055564714438410434,0.035565579851415306,0.06803235210373015,l1,,,,,,,,,,,,,,,
22,nb,none,none,nb,0.2055333056723545,0.2649768271327682,,,,,,,,,,,,,,,,,
23,dtree,minmax,none,dtree,0.24047006329644793,0.19267669888682562,,,3.0,10.0,,,,,,,,,,,,,
24,logreg,minmax,none,logreg,0.0,0.001848980542684425,0.0036873096827621204,l2,,,,,,,,,,,,,,,
25,rforest,standard,none,rforest,0.22941849044496535,0.18429300167425167,,,,,,,20.0,18.0,,,,,,,,,
26,rforest,minmax,smote,rforest,0.22860817916730267,0.20500606071535113,,,,,,,41.0,16.0,,,,,,,,,
27,knn,minmax,none,knn,0.1624577783049622,0.10821428571428571,,,,,,,,,,,28.0,,,,,,
28,nb,robust,smote,nb,0.19280869499428396,0.3149271673359449,,,,,,,,,,,,,,,,,
29,nb,robust,smote,nb,0.19280869499428396,0.3143028540361598,,,,,,,,,,,,,,,,,
30,lightgbm,none,smote,lightgbm,0.22061295495812314,0.056672710887881485,,,,,,,,,,,,183.0,62.0,0.001223256914702191,,,
31,logreg,minmax,none,logreg,0.20190235194513803,0.12122986171921822,4.471529038569673,l1,,,,,,,,,,,,,,,
32,mlp,minmax,none,mlp,0.2194478014945056,0.29473788877800494,,,,,,,,,64_32,0.01737620143973464,,,,,,,
33,rforest,minmax,none,rforest,0.24346193181442463,0.17399654835364356,,,,,,,141.0,8.0,,,,,,,,,
34,logreg,none,none,logreg,0.17481573999426378,0.07993509677113887,0.009879605816282088,l2,,,,,,,,,,,,,,,
35,nb,robust,smote,nb,0.19280869499428396,0.32097526072558563,,,,,,,,,,,,,,,,,
36,lightgbm,minmax,smote,lightgbm,0.24043410712718571,0.16380690656831648,,,,,,,,,,,,135.0,63.0,0.006273325553688583,,,
37,xgboost,standard,smote,xgboost,0.24789946559476742,0.11556450378149748,,,,,,,,,,,,,,,57.0,2.0,0.023489048936720037
38,extratrees,robust,smote,extratrees,0.2673540056858698,0.16971575476846112,,,,,59.0,15.0,,,,,,,,,,,
39,extratrees,minmax,none,extratrees,0.24440114942047297,0.14705967019891572,,,,,113.0,14.0,,,,,,,,,,,
