trial,model_family,param_scaler,param_imbalance,param_model_family,param_rf_n_estimators,param_rf_max_depth,mcc,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_lr,param_dt_max_depth,param_dt_min_samples_split,param_mlp_units,param_mlp_alpha,param_knn_k,param_lgb_n_estimators,param_lgb_num_leaves,param_lgb_lr,param_et_n_estimators,param_et_max_depth,param_lr_C,param_lr_penalty
0,rforest,standard,smote,rforest,35.0,3.0,0.2756961601944605,,,,,,,,,,,,,,,
1,xgboost,robust,none,xgboost,,,0.01841614265988047,102.0,7.0,0.0011238623122384508,,,,,,,,,,,,
2,dtree,robust,none,dtree,,,0.19684762378175327,,,,12.0,10.0,,,,,,,,,,
3,mlp,none,none,mlp,,,0.12836939635238434,,,,,,64,0.08050778165087023,,,,,,,,
4,knn,standard,smote,knn,,,0.17794004495655233,,,,,,,,18.0,,,,,,,
5,lightgbm,minmax,none,lightgbm,,,0.18158480375314404,,,,,,,,,153.0,97.0,0.004692208186011663,,,,
6,nb,standard,none,nb,,,0.19778314597922178,,,,,,,,,,,,,,,
7,rforest,minmax,smote,rforest,126.0,12.0,0.2553432179927466,,,,,,,,,,,,,,,
8,knn,robust,smote,knn,,,0.18226955470474807,,,,,,,,7.0,,,,,,,
9,lightgbm,minmax,none,lightgbm,,,0.22960792373954322,,,,,,,,,152.0,23.0,0.025483681661883566,,,,
10,rforest,standard,smote,rforest,23.0,3.0,0.2502426631521366,,,,,,,,,,,,,,,
11,rforest,minmax,smote,rforest,91.0,8.0,0.24881064758607985,,,,,,,,,,,,,,,
12,mlp,minmax,smote,mlp,,,0.18582006231050932,,,,,,64_32,1.4298540752625308e-05,,,,,,,,
13,extratrees,none,smote,extratrees,,,0.2698076038881716,,,,,,,,,,,,55.0,12.0,,
14,extratrees,none,none,extratrees,,,0.22551996574175429,,,,,,,,,,,,31.0,14.0,,
15,dtree,none,smote,dtree,,,0.174862911914774,,,,2.0,20.0,,,,,,,,,,
16,extratrees,none,smote,extratrees,,,0.2658199541845738,,,,,,,,,,,,109.0,7.0,,
17,extratrees,standard,smote,extratrees,,,0.24979991208080773,,,,,,,,,,,,194.0,18.0,,
18,logreg,none,smote,logreg,,,0.21272246975188558,,,,,,,,,,,,,,60.68958324197682,l1
19,nb,robust,smote,nb,,,0.19280869499428396,,,,,,,,,,,,,,,
20,rforest,standard,none,rforest,200.0,15.0,0.24532028784646856,,,,,,,,,,,,,,,
21,extratrees,none,smote,extratrees,,,0.2377870163554285,,,,,,,,,,,,73.0,4.0,,
22,mlp,none,smote,mlp,,,0.1533862660833926,,,,,,32,0.0005669081944376798,,,,,,,,
23,xgboost,standard,smote,xgboost,,,0.2328333983103168,199.0,2.0,0.48611902437442905,,,,,,,,,,,,
24,extratrees,robust,smote,extratrees,,,0.25680081399594207,,,,,,,,,,,,111.0,8.0,,
25,lightgbm,none,smote,lightgbm,,,0.22914656825029966,,,,,,,,,26.0,12.0,0.32855003079600553,,,,
26,rforest,none,smote,rforest,22.0,18.0,0.20706149894878004,,,,,,,,,,,,,,,
27,nb,none,smote,nb,,,0.19304673384864013,,,,,,,,,,,,,,,
28,extratrees,minmax,smote,extratrees,,,0.24823450886014675,,,,,,,,,,,,108.0,10.0,,
29,extratrees,none,smote,extratrees,,,0.2643500425696647,,,,,,,,,,,,60.0,9.0,,
30,logreg,standard,smote,logreg,,,0.20182199676526236,,,,,,,,,,,,,,0.0067104232165141366,l2
31,extratrees,none,smote,extratrees,,,0.2718189654348509,,,,,,,,,,,,61.0,9.0,,
32,xgboost,none,smote,xgboost,,,0.15954743621735806,25.0,10.0,0.014949103078001872,,,,,,,,,,,,
33,knn,none,smote,knn,,,0.13513828026914912,,,,,,,,30.0,,,,,,,
34,dtree,standard,smote,dtree,,,0.15486135154542638,,,,20.0,3.0,,,,,,,,,,
35,extratrees,robust,none,extratrees,,,0.2137378797753202,,,,,,,,,,,,90.0,6.0,,
36,extratrees,none,smote,extratrees,,,0.25561390821643853,,,,,,,,,,,,148.0,12.0,,
37,logreg,none,none,logreg,,,0.1730462633778563,,,,,,,,,,,,,,0.001192711759068935,l2
38,logreg,robust,smote,logreg,,,0.18670073319589683,,,,,,,,,,,,,,4.739235783753367,l1
39,rforest,robust,smote,rforest,192.0,3.0,0.25218850787864416,,,,,,,,,,,,,,,
