trial,model_family,param_scaler,param_imbalance,param_model_family,mcc,param_lr_C,param_lr_penalty,param_dt_max_depth,param_dt_min_samples_split,param_et_n_estimators,param_et_max_depth,param_rf_n_estimators,param_rf_max_depth,param_lgb_n_estimators,param_lgb_num_leaves,param_lgb_lr,param_mlp_units,param_mlp_alpha,param_knn_k,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_lr
0,nb,standard,none,nb,0.19778314597922178,,,,,,,,,,,,,,,,,
1,logreg,none,smote,logreg,0.2112262532456427,0.0031026598745141306,l2,,,,,,,,,,,,,,,
2,dtree,standard,none,dtree,0.19663015240703188,,,7.0,4.0,,,,,,,,,,,,,
3,extratrees,standard,none,extratrees,0.23275839605870188,,,,,116.0,13.0,,,,,,,,,,,
4,extratrees,standard,smote,extratrees,0.27864525545363406,,,,,155.0,8.0,,,,,,,,,,,
5,dtree,robust,none,dtree,0.18563806947857256,,,13.0,8.0,,,,,,,,,,,,,
6,rforest,robust,none,rforest,0.2495386258374431,,,,,,,156.0,17.0,,,,,,,,,
7,nb,none,smote,nb,0.19304673384864013,,,,,,,,,,,,,,,,,
8,logreg,robust,smote,logreg,0.19108917003728135,0.6289048012408942,l2,,,,,,,,,,,,,,,
9,dtree,none,none,dtree,0.24047006329644793,,,3.0,11.0,,,,,,,,,,,,,
10,rforest,standard,smote,rforest,0.26554298060157816,,,,,,,23.0,4.0,,,,,,,,,
11,rforest,standard,smote,rforest,0.2597695162386675,,,,,,,24.0,3.0,,,,,,,,,
12,extratrees,standard,smote,extratrees,0.2414863841650294,,,,,200.0,3.0,,,,,,,,,,,
13,rforest,minmax,smote,rforest,0.25856049756586647,,,,,,,40.0,3.0,,,,,,,,,
14,lightgbm,standard,smote,lightgbm,0.23726944419540205,,,,,,,,,135.0,17.0,0.011312910862380116,,,,,,
15,extratrees,minmax,smote,extratrees,0.23202812670738057,,,,,37.0,17.0,,,,,,,,,,,
16,mlp,standard,smote,mlp,0.1883451830062457,,,,,,,,,,,,64_32,0.03623840857943087,,,,
17,knn,minmax,none,knn,0.17158946421837262,,,,,,,,,,,,,,31.0,,,
18,xgboost,robust,smote,xgboost,0.24708765704669552,,,,,,,,,,,,,,,147.0,2.0,0.012045294308763365
19,knn,standard,smote,knn,0.15908785217030463,,,,,,,,,,,,,,4.0,,,
20,dtree,standard,smote,dtree,0.16185483354261607,,,19.0,20.0,,,,,,,,,,,,,
21,rforest,standard,smote,rforest,0.2633700669183517,,,,,,,22.0,3.0,,,,,,,,,
22,rforest,none,smote,rforest,0.25521458505516637,,,,,,,22.0,6.0,,,,,,,,,
23,rforest,standard,none,rforest,0.2560452895334584,,,,,,,76.0,8.0,,,,,,,,,
24,xgboost,standard,smote,xgboost,0.2510864289225752,,,,,,,,,,,,,,,21.0,10.0,0.3630693196017095
25,rforest,robust,smote,rforest,0.25760479046760093,,,,,,,81.0,8.0,,,,,,,,,
26,logreg,standard,smote,logreg,0.1945466276773639,38.52826072666569,l1,,,,,,,,,,,,,,,
27,nb,standard,smote,nb,0.18600918818522058,,,,,,,,,,,,,,,,,
28,rforest,standard,smote,rforest,0.2673121627343525,,,,,,,70.0,5.0,,,,,,,,,
29,dtree,minmax,smote,dtree,0.18267327006586842,,,20.0,20.0,,,,,,,,,,,,,
30,extratrees,none,smote,extratrees,0.23614896965211996,,,,,194.0,5.0,,,,,,,,,,,
31,rforest,standard,smote,rforest,0.26840521432212644,,,,,,,71.0,5.0,,,,,,,,,
32,rforest,standard,smote,rforest,0.2518563958343359,,,,,,,93.0,7.0,,,,,,,,,
33,xgboost,minmax,none,xgboost,0.031537325679872996,,,,,,,,,,,,,,,192.0,6.0,0.0013071441113524248
34,extratrees,standard,smote,extratrees,0.2412771464157365,,,,,23.0,9.0,,,,,,,,,,,
35,lightgbm,standard,none,lightgbm,0.2181129959284954,,,,,,,,,29.0,94.0,0.45862168926469377,,,,,,
36,mlp,none,smote,mlp,0.15965290377619434,,,,,,,,,,,,32,2.2451432335108485e-05,,,,
37,xgboost,standard,none,xgboost,0.2363698297916567,,,,,,,,,,,,,,,48.0,10.0,0.39498546315371325
38,extratrees,robust,smote,extratrees,0.2621610102366569,,,,,116.0,18.0,,,,,,,,,,,
39,knn,none,none,knn,0.1641294941321624,,,,,,,,,,,,,,12.0,,,
