trial,model_family,param_scaler,param_imbalance,param_model_family,param_rf_n_estimators,param_rf_max_depth,mcc,phi,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_lr,param_dt_max_depth,param_dt_min_samples_split,param_mlp_units,param_mlp_alpha,param_knn_k,param_lgb_n_estimators,param_lgb_num_leaves,param_lgb_lr,param_lr_C,param_lr_penalty,param_et_n_estimators,param_et_max_depth
0,rforest,standard,smote,rforest,35.0,3.0,0.22103425014228684,0.10690416904923145,,,,,,,,,,,,,,,
1,xgboost,robust,none,xgboost,,,0.04389422909512072,-0.0016580607493718522,102.0,7.0,0.0011238623122384508,,,,,,,,,,,,
2,dtree,robust,none,dtree,,,0.11851564353759862,0.4462482066556284,,,,12.0,10.0,,,,,,,,,,
3,mlp,none,none,mlp,,,0.12059791520614332,0.364177284127134,,,,,,64,0.08050778165087023,,,,,,,,
4,knn,standard,smote,knn,,,0.1841494775088883,0.22768518518518518,,,,,,,,18.0,,,,,,,
5,lightgbm,minmax,none,lightgbm,,,0.18958625652522884,0.11427966878745181,,,,,,,,,153.0,97.0,0.004692208186011663,,,,
6,nb,standard,none,nb,,,0.17958059151362357,0.31738912276528986,,,,,,,,,,,,,,,
7,rforest,minmax,smote,rforest,126.0,12.0,0.23191142654328764,0.15409216978255202,,,,,,,,,,,,,,,
8,knn,robust,smote,knn,,,0.17660121495496842,0.29023809523809524,,,,,,,,7.0,,,,,,,
9,lightgbm,minmax,none,lightgbm,,,0.2037838694317989,0.22642929902034203,,,,,,,,,152.0,23.0,0.025483681661883566,,,,
10,nb,robust,smote,nb,,,0.16782524108855665,0.3388267854940621,,,,,,,,,,,,,,,
11,dtree,minmax,none,dtree,,,0.1134287705667074,0.486501534284429,,,,15.0,9.0,,,,,,,,,,
12,dtree,robust,smote,dtree,,,0.13091215609591977,0.4058572014882233,,,,13.0,17.0,,,,,,,,,,
13,rforest,standard,smote,rforest,96.0,8.0,0.224461206908364,0.1488786831349753,,,,,,,,,,,,,,,
14,mlp,robust,smote,mlp,,,0.22437485017393652,0.3988515927218315,,,,,,64_32,2.156203475705173e-05,,,,,,,,
15,mlp,minmax,none,mlp,,,0.19679561428230116,0.2670814632356931,,,,,,64_32,8.449023263251553e-05,,,,,,,,
16,lightgbm,none,none,lightgbm,,,0.17684269264789462,0.35725026333443566,,,,,,,,,86.0,19.0,0.16552786058713873,,,,
17,logreg,standard,smote,logreg,,,0.18568729064845915,0.23097664359194367,,,,,,,,,,,,4.245920136444837,l2,,
18,dtree,robust,smote,dtree,,,0.1261845201682862,0.426356565693262,,,,14.0,15.0,,,,,,,,,,
19,logreg,robust,smote,logreg,,,0.0,0.0,,,,,,,,,,,,0.0016713272966410312,l1,,
20,nb,robust,none,nb,,,0.17958059151362357,0.3250926214481492,,,,,,,,,,,,,,,
21,dtree,none,smote,dtree,,,0.10124158371991003,0.3862791167166167,,,,17.0,20.0,,,,,,,,,,
22,dtree,minmax,none,dtree,,,0.09535770365686809,0.5895386904761905,,,,18.0,2.0,,,,,,,,,,
23,rforest,none,smote,rforest,22.0,9.0,0.23331757475170736,0.16501037257528742,,,,,,,,,,,,,,,
24,extratrees,robust,none,extratrees,,,0.17127584467837068,0.12297072019648177,,,,,,,,,,,,,,31.0,15.0
25,nb,minmax,none,nb,,,0.17974470771821097,0.3182724722369659,,,,,,,,,,,,,,,
26,dtree,robust,none,dtree,,,0.1173573427563845,0.48306349206349203,,,,18.0,7.0,,,,,,,,,,
27,xgboost,minmax,smote,xgboost,,,0.18645787422293317,0.2392603471673647,146.0,10.0,0.48290077628284633,,,,,,,,,,,,
28,extratrees,none,none,extratrees,,,0.21925077822136532,0.08471843467222062,,,,,,,,,,,,,,119.0,7.0
29,extratrees,robust,smote,extratrees,,,0.23586728159083567,0.13638608632923158,,,,,,,,,,,,,,83.0,14.0
30,mlp,minmax,smote,mlp,,,0.20852086920348278,0.23056194090334514,,,,,,64,0.00023466263195250062,,,,,,,,
31,knn,none,smote,knn,,,0.11722974478498671,0.23403846153846153,,,,,,,,26.0,,,,,,,
32,mlp,minmax,smote,mlp,,,0.21125438916350647,0.29160843960004174,,,,,,64_32,0.0014639396549099393,,,,,,,,
33,dtree,minmax,smote,dtree,,,0.10819769977497495,0.46889569259606406,,,,10.0,3.0,,,,,,,,,,
34,lightgbm,none,smote,lightgbm,,,0.18587871191027502,0.18654695897785498,,,,,,,,,197.0,23.0,0.007677675918844064,,,,
35,xgboost,none,none,xgboost,,,0.17883756267071046,0.229534831686063,139.0,5.0,0.49776153332938305,,,,,,,,,,,,
36,mlp,robust,none,mlp,,,0.21787540102653527,0.2535533266740693,,,,,,32,0.0022844354557995964,,,,,,,,
37,extratrees,robust,none,extratrees,,,0.1825925408988552,0.04427783867776758,,,,,,,,,,,,,,175.0,3.0
38,knn,robust,smote,knn,,,0.1983899085540026,0.268,,,,,,,,15.0,,,,,,,
39,lightgbm,minmax,none,lightgbm,,,0.15364742488855967,0.043669989601261394,,,,,,,,,134.0,97.0,0.0019001969736558379,,,,
