trial,model_family,param_scaler,param_imbalance,param_model_family,mcc,phi,param_lr_C,param_lr_penalty,param_dt_max_depth,param_dt_min_samples_split,param_et_n_estimators,param_et_max_depth,param_rf_n_estimators,param_rf_max_depth,param_mlp_units,param_mlp_alpha,param_knn_k,param_lgb_n_estimators,param_lgb_num_leaves,param_lgb_lr,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_lr
0,nb,standard,none,nb,0.17958059151362357,0.2894997960588655,,,,,,,,,,,,,,,,,
1,logreg,none,smote,logreg,0.18177596515719674,0.15072932069097708,0.0031026598745141306,l2,,,,,,,,,,,,,,,
2,dtree,standard,none,dtree,0.12309689883225794,0.35198955418346095,,,7.0,4.0,,,,,,,,,,,,,
3,extratrees,standard,none,extratrees,0.23375539904935846,0.11186318921872684,,,,,116.0,13.0,,,,,,,,,,,
4,extratrees,standard,smote,extratrees,0.23613048244223525,0.11809671453322844,,,,,155.0,8.0,,,,,,,,,,,
5,dtree,robust,none,dtree,0.12132453853786666,0.4642518863859812,,,13.0,8.0,,,,,,,,,,,,,
6,rforest,robust,none,rforest,0.21836105726691632,0.14370347561829488,,,,,,,156.0,17.0,,,,,,,,,
7,nb,none,smote,nb,0.1789670641921064,0.2960192236626749,,,,,,,,,,,,,,,,,
8,logreg,robust,smote,logreg,0.19309498910315323,0.2060239292480117,0.6289048012408942,l2,,,,,,,,,,,,,,,
9,dtree,none,none,dtree,0.20443076643555744,0.15026018387682202,,,3.0,11.0,,,,,,,,,,,,,
10,mlp,robust,none,mlp,0.1927796448715401,0.40289676956127174,,,,,,,,,64_32,5.939325546513371e-05,,,,,,,
11,nb,minmax,smote,nb,0.17209752499164543,0.2992798153448539,,,,,,,,,,,,,,,,,
12,extratrees,none,none,extratrees,0.23513429317593082,0.11425005300963832,,,,,191.0,16.0,,,,,,,,,,,
13,logreg,minmax,none,logreg,0.16681724236855147,0.08300595359077723,0.28266212078397884,l1,,,,,,,,,,,,,,,
14,mlp,minmax,none,mlp,0.19572774415528585,0.20457548559450342,,,,,,,,,64,0.020672035014253187,,,,,,,
15,rforest,standard,smote,rforest,0.23102128346360104,0.1520575641242477,,,,,,,77.0,12.0,,,,,,,,,
16,rforest,standard,none,rforest,0.22611324042732037,0.14309134673718685,,,,,,,123.0,14.0,,,,,,,,,
17,rforest,standard,none,rforest,0.20680448297444276,0.12592904282314715,,,,,,,104.0,8.0,,,,,,,,,
18,knn,robust,none,knn,0.16075948279724564,0.1548148148148148,,,,,,,,,,,9.0,,,,,,
19,mlp,standard,none,mlp,0.14870255926984213,0.4406338675028241,,,,,,,,,64_32,0.0629830902555282,,,,,,,
20,logreg,standard,none,logreg,0.2004862787405013,0.13707594117916866,0.17011051524893722,l2,,,,,,,,,,,,,,,
21,logreg,minmax,none,logreg,0.03194343764525484,0.010474632173057464,0.06803235210373015,l1,,,,,,,,,,,,,,,
22,nb,none,none,nb,0.18527874105775344,0.2935370495549525,,,,,,,,,,,,,,,,,
23,dtree,minmax,none,dtree,0.20443076643555744,0.15026018387682202,,,3.0,10.0,,,,,,,,,,,,,
24,logreg,minmax,none,logreg,0.05627116879785143,0.0017457069744402963,0.0036873096827621204,l2,,,,,,,,,,,,,,,
25,rforest,standard,none,rforest,0.20358431544173702,0.16052931015320493,,,,,,,20.0,18.0,,,,,,,,,
26,rforest,minmax,smote,rforest,0.1944768063868069,0.154422552600907,,,,,,,41.0,16.0,,,,,,,,,
27,knn,minmax,none,knn,0.14650767973110088,0.10857142857142855,,,,,,,,,,,28.0,,,,,,
28,nb,robust,smote,nb,0.16782524108855665,0.31897584667770024,,,,,,,,,,,,,,,,,
29,nb,robust,smote,nb,0.16782524108855665,0.316089701466588,,,,,,,,,,,,,,,,,
30,lightgbm,none,smote,lightgbm,0.17766843963697773,0.046822485255300854,,,,,,,,,,,,183.0,62.0,0.001223256914702191,,,
31,logreg,minmax,none,logreg,0.19088949513910947,0.16354566044360327,4.471529038569673,l1,,,,,,,,,,,,,,,
32,mlp,minmax,none,mlp,0.18048965083211246,0.2647844920428701,,,,,,,,,64_32,0.01737620143973464,,,,,,,
33,rforest,minmax,none,rforest,0.2034450907006776,0.13034355184386137,,,,,,,141.0,8.0,,,,,,,,,
34,logreg,none,none,logreg,0.19089868509168365,0.11174186801446932,0.009879605816282088,l2,,,,,,,,,,,,,,,
35,nb,robust,smote,nb,0.16782524108855665,0.31202576131209403,,,,,,,,,,,,,,,,,
36,lightgbm,minmax,smote,lightgbm,0.1778824591787437,0.14162728078327075,,,,,,,,,,,,135.0,63.0,0.006273325553688583,,,
37,xgboost,standard,smote,xgboost,0.2326830631057389,0.10600893964370091,,,,,,,,,,,,,,,57.0,2.0,0.023489048936720037
38,extratrees,robust,smote,extratrees,0.20381226497514285,0.1366235987982468,,,,,59.0,15.0,,,,,,,,,,,
39,extratrees,minmax,none,extratrees,0.23417850576218924,0.10897197087943711,,,,,113.0,14.0,,,,,,,,,,,
