trial,model_family,param_scaler,param_imbalance,param_model_family,param_rf_n_estimators,param_rf_max_depth,mcc,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_lr,param_dt_max_depth,param_dt_min_samples_split,param_mlp_units,param_mlp_alpha,param_knn_k,param_lgb_n_estimators,param_lgb_num_leaves,param_lgb_lr,param_et_n_estimators,param_et_max_depth,param_lr_C,param_lr_penalty
0,rforest,standard,smote,rforest,35.0,3.0,0.22103425014228684,,,,,,,,,,,,,,,
1,xgboost,robust,none,xgboost,,,0.04389422909512072,102.0,7.0,0.0011238623122384508,,,,,,,,,,,,
2,dtree,robust,none,dtree,,,0.11851564353759862,,,,12.0,10.0,,,,,,,,,,
3,mlp,none,none,mlp,,,0.12059791520614332,,,,,,64,0.08050778165087023,,,,,,,,
4,knn,standard,smote,knn,,,0.1841494775088883,,,,,,,,18.0,,,,,,,
5,lightgbm,minmax,none,lightgbm,,,0.18958625652522884,,,,,,,,,153.0,97.0,0.004692208186011663,,,,
6,nb,standard,none,nb,,,0.17958059151362357,,,,,,,,,,,,,,,
7,rforest,minmax,smote,rforest,126.0,12.0,0.23191142654328764,,,,,,,,,,,,,,,
8,knn,robust,smote,knn,,,0.17660121495496842,,,,,,,,7.0,,,,,,,
9,lightgbm,minmax,none,lightgbm,,,0.2037838694317989,,,,,,,,,152.0,23.0,0.025483681661883566,,,,
10,rforest,minmax,smote,rforest,181.0,17.0,0.2336109764136989,,,,,,,,,,,,,,,
11,rforest,minmax,smote,rforest,171.0,16.0,0.23086036311347558,,,,,,,,,,,,,,,
12,mlp,minmax,smote,mlp,,,0.20834370569227242,,,,,,64_32,1.4298540752625308e-05,,,,,,,,
13,extratrees,none,smote,extratrees,,,0.22330696708212616,,,,,,,,,,,,55.0,12.0,,
14,logreg,minmax,smote,logreg,,,0.0,,,,,,,,,,,,,,0.00554706475058439,l1
15,rforest,none,smote,rforest,174.0,16.0,0.2369944857885233,,,,,,,,,,,,,,,
16,xgboost,none,smote,xgboost,,,0.1721859206973627,197.0,2.0,0.3443730892702978,,,,,,,,,,,,
17,rforest,none,smote,rforest,199.0,18.0,0.22112639449855362,,,,,,,,,,,,,,,
18,nb,robust,smote,nb,,,0.16782524108855665,,,,,,,,,,,,,,,
19,logreg,none,none,logreg,,,0.19089868509168365,,,,,,,,,,,,,,87.26338609340117,l2
20,rforest,none,none,rforest,150.0,14.0,0.22515196891860936,,,,,,,,,,,,,,,
21,dtree,minmax,smote,dtree,,,0.14699653779645572,,,,2.0,20.0,,,,,,,,,,
22,lightgbm,none,smote,lightgbm,,,0.16938782718097367,,,,,,,,,42.0,7.0,0.40010980188953243,,,,
23,rforest,robust,smote,rforest,123.0,12.0,0.22592880859102016,,,,,,,,,,,,,,,
24,rforest,minmax,none,rforest,109.0,11.0,0.1845078571930646,,,,,,,,,,,,,,,
25,xgboost,minmax,smote,xgboost,,,0.17641071256748597,31.0,10.0,0.07873511019057376,,,,,,,,,,,,
26,extratrees,minmax,smote,extratrees,,,0.21445940095276605,,,,,,,,,,,,198.0,3.0,,
27,nb,minmax,smote,nb,,,0.17209752499164543,,,,,,,,,,,,,,,
28,rforest,minmax,smote,rforest,182.0,9.0,0.24973304568909271,,,,,,,,,,,,,,,
29,rforest,standard,smote,rforest,186.0,7.0,0.24575805226169256,,,,,,,,,,,,,,,
30,rforest,standard,smote,rforest,163.0,7.0,0.24676496166094386,,,,,,,,,,,,,,,
31,rforest,standard,smote,rforest,166.0,7.0,0.2437713007119585,,,,,,,,,,,,,,,
32,rforest,standard,smote,rforest,159.0,7.0,0.24526669676569915,,,,,,,,,,,,,,,
33,dtree,standard,smote,dtree,,,0.16231558482352812,,,,19.0,4.0,,,,,,,,,,
34,lightgbm,standard,smote,lightgbm,,,0.15947977849785702,,,,,,,,,32.0,76.0,0.0010453504123329488,,,,
35,xgboost,standard,smote,xgboost,,,0.19472386456751048,193.0,2.0,0.0012146896457408216,,,,,,,,,,,,
36,logreg,standard,smote,logreg,,,0.0,,,,,,,,,,,,,,0.0013875193466722712,l1
37,rforest,standard,smote,rforest,148.0,7.0,0.2535205441690693,,,,,,,,,,,,,,,
38,rforest,standard,none,rforest,200.0,7.0,0.23227481174040088,,,,,,,,,,,,,,,
39,mlp,standard,smote,mlp,,,0.1873824112494283,,,,,,32,0.0006759377707921539,,,,,,,,
