trial,model_family,param_scaler,param_imbalance,param_model_family,mcc,param_lr_C,param_lr_penalty,param_dt_max_depth,param_dt_min_samples_split,param_et_n_estimators,param_et_max_depth,param_rf_n_estimators,param_rf_max_depth,param_lgb_n_estimators,param_lgb_num_leaves,param_lgb_lr,param_mlp_units,param_mlp_alpha,param_knn_k,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_lr
0,nb,standard,none,nb,0.17958059151362357,,,,,,,,,,,,,,,,,
1,logreg,none,smote,logreg,0.18177596515719674,0.0031026598745141306,l2,,,,,,,,,,,,,,,
2,dtree,standard,none,dtree,0.12309689883225794,,,7.0,4.0,,,,,,,,,,,,,
3,extratrees,standard,none,extratrees,0.23375539904935846,,,,,116.0,13.0,,,,,,,,,,,
4,extratrees,standard,smote,extratrees,0.23613048244223525,,,,,155.0,8.0,,,,,,,,,,,
5,dtree,robust,none,dtree,0.12132453853786666,,,13.0,8.0,,,,,,,,,,,,,
6,rforest,robust,none,rforest,0.21836105726691632,,,,,,,156.0,17.0,,,,,,,,,
7,nb,none,smote,nb,0.1789670641921064,,,,,,,,,,,,,,,,,
8,logreg,robust,smote,logreg,0.19309498910315323,0.6289048012408942,l2,,,,,,,,,,,,,,,
9,dtree,none,none,dtree,0.20443076643555744,,,3.0,11.0,,,,,,,,,,,,,
10,rforest,standard,smote,rforest,0.22770165840712597,,,,,,,23.0,4.0,,,,,,,,,
11,extratrees,standard,smote,extratrees,0.2408618333249101,,,,,138.0,10.0,,,,,,,,,,,
12,extratrees,standard,smote,extratrees,0.23707976524365768,,,,,153.0,7.0,,,,,,,,,,,
13,extratrees,minmax,smote,extratrees,0.2384574941633737,,,,,178.0,6.0,,,,,,,,,,,
14,extratrees,minmax,smote,extratrees,0.22435073114314816,,,,,200.0,3.0,,,,,,,,,,,
15,lightgbm,minmax,smote,lightgbm,0.19933553637789728,,,,,,,,,72.0,61.0,0.008093520846234653,,,,,,
16,mlp,minmax,smote,mlp,0.21410150363789357,,,,,,,,,,,,64_32,0.03623840857943087,,,,
17,knn,minmax,none,knn,0.16061175497625746,,,,,,,,,,,,,,31.0,,,
18,xgboost,robust,smote,xgboost,0.23450160150907917,,,,,,,,,,,,,,,147.0,2.0,0.012045294308763365
19,extratrees,robust,smote,extratrees,0.21477197598637424,,,,,30.0,11.0,,,,,,,,,,,
20,xgboost,minmax,smote,xgboost,0.17444416484336603,,,,,,,,,,,,,,,44.0,8.0,0.49528951338643507
21,lightgbm,standard,smote,lightgbm,0.16291772068696697,,,,,,,,,197.0,7.0,0.39387622857742294,,,,,,
22,extratrees,none,smote,extratrees,0.2415488118346215,,,,,150.0,6.0,,,,,,,,,,,
23,extratrees,none,smote,extratrees,0.23768948149011912,,,,,152.0,6.0,,,,,,,,,,,
24,extratrees,minmax,none,extratrees,0.23689322537167892,,,,,120.0,16.0,,,,,,,,,,,
25,mlp,none,smote,mlp,0.11329027336162091,,,,,,,,,,,,32,2.5853796881313738e-05,,,,
26,knn,none,smote,knn,0.13458648755526045,,,,,,,,,,,,,,6.0,,,
27,nb,minmax,smote,nb,0.17209752499164543,,,,,,,,,,,,,,,,,
28,extratrees,none,none,extratrees,0.18638430571929618,,,,,186.0,4.0,,,,,,,,,,,
29,mlp,standard,smote,mlp,0.23187827676084474,,,,,,,,,,,,64,0.08122450641292864,,,,
30,rforest,minmax,smote,rforest,0.2396015949786747,,,,,,,196.0,3.0,,,,,,,,,
31,rforest,minmax,smote,rforest,0.24078760807146757,,,,,,,200.0,3.0,,,,,,,,,
32,rforest,minmax,smote,rforest,0.24078760807146757,,,,,,,200.0,3.0,,,,,,,,,
33,rforest,minmax,none,rforest,0.21056299126460712,,,,,,,196.0,3.0,,,,,,,,,
34,rforest,none,smote,rforest,0.2397824802578085,,,,,,,157.0,8.0,,,,,,,,,
35,rforest,robust,smote,rforest,0.23698819059217593,,,,,,,197.0,8.0,,,,,,,,,
36,logreg,standard,none,logreg,0.2054884451984034,75.9697907858724,l1,,,,,,,,,,,,,,,
37,rforest,minmax,smote,rforest,0.22293288455774338,,,,,,,152.0,7.0,,,,,,,,,
38,logreg,minmax,smote,logreg,0.0,0.005122440430369556,l1,,,,,,,,,,,,,,,
39,xgboost,standard,smote,xgboost,0.14195916098140282,,,,,,,,,,,,,,,192.0,10.0,0.0014508265336138683
