trial,model_family,param_scaler,param_imbalance,param_model_family,param_rf_n_estimators,param_rf_max_depth,mcc,phi,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_lr,param_dt_max_depth,param_dt_min_samples_split,param_mlp_units,param_mlp_alpha,param_knn_k,param_lgb_n_estimators,param_lgb_num_leaves,param_lgb_lr,param_lr_C,param_lr_penalty,param_et_n_estimators,param_et_max_depth
0,rforest,standard,smote,rforest,35.0,3.0,0.22933706501705578,0.13208422930228278,,,,,,,,,,,,,,,
1,xgboost,robust,none,xgboost,,,0.08240982893795075,0.0015302317092816002,102.0,7.0,0.0011238623122384508,,,,,,,,,,,,
2,dtree,robust,none,dtree,,,0.16220910284215986,0.40972011318500706,,,,12.0,10.0,,,,,,,,,,
3,mlp,none,none,mlp,,,0.1638805561848277,0.32806848015617085,,,,,,64,0.08050778165087023,,,,,,,,
4,knn,standard,smote,knn,,,0.20854098571406446,0.2538888888888889,,,,,,,,18.0,,,,,,,
5,lightgbm,minmax,none,lightgbm,,,0.24825750989911696,0.10621136688733235,,,,,,,,,153.0,97.0,0.004692208186011663,,,,
6,nb,standard,none,nb,,,0.21240512986827356,0.3059156091457868,,,,,,,,,,,,,,,
7,rforest,minmax,smote,rforest,126.0,12.0,0.27348385053828655,0.18827924772405313,,,,,,,,,,,,,,,
8,knn,robust,smote,knn,,,0.2124652978151972,0.3016666666666667,,,,,,,,7.0,,,,,,,
9,lightgbm,minmax,none,lightgbm,,,0.2730989684404353,0.23546583062131474,,,,,,,,,152.0,23.0,0.025483681661883566,,,,
10,nb,robust,smote,nb,,,0.20446744065196187,0.3307440383940822,,,,,,,,,,,,,,,
11,dtree,minmax,none,dtree,,,0.15863135958088204,0.4097375266133006,,,,15.0,9.0,,,,,,,,,,
12,dtree,robust,smote,dtree,,,0.15635305961827364,0.42781246892945685,,,,13.0,17.0,,,,,,,,,,
13,rforest,standard,smote,rforest,96.0,8.0,0.2759629522128968,0.18297451944259022,,,,,,,,,,,,,,,
14,mlp,robust,smote,mlp,,,0.21005018108583884,0.4504258171687854,,,,,,64_32,2.156203475705173e-05,,,,,,,,
15,mlp,minmax,none,mlp,,,0.23248054667435203,0.27123586568876834,,,,,,64_32,8.449023263251553e-05,,,,,,,,
16,lightgbm,none,none,lightgbm,,,0.26226253124277005,0.3124167850265103,,,,,,,,,86.0,19.0,0.16552786058713873,,,,
17,logreg,standard,smote,logreg,,,0.2149363030402092,0.1813884328827183,,,,,,,,,,,,4.245920136444837,l2,,
18,dtree,robust,smote,dtree,,,0.16699771472582803,0.4470694664789497,,,,14.0,15.0,,,,,,,,,,
19,logreg,robust,smote,logreg,,,0.0,0.0,,,,,,,,,,,,0.0016713272966410312,l1,,
20,nb,robust,none,nb,,,0.21240512986827356,0.3164224187869292,,,,,,,,,,,,,,,
21,dtree,none,smote,dtree,,,0.17085108509498348,0.4449947687761155,,,,17.0,20.0,,,,,,,,,,
22,dtree,minmax,none,dtree,,,0.12823024355362841,0.5737575757575758,,,,18.0,2.0,,,,,,,,,,
23,rforest,none,smote,rforest,22.0,9.0,0.22774326339445983,0.1828223208640051,,,,,,,,,,,,,,,
24,extratrees,robust,none,extratrees,,,0.25120177667738147,0.14260851240978853,,,,,,,,,,,,,,31.0,15.0
25,nb,minmax,none,nb,,,0.21379957656146117,0.3010452784177495,,,,,,,,,,,,,,,
26,dtree,robust,none,dtree,,,0.14037821165143827,0.4716540404040404,,,,18.0,7.0,,,,,,,,,,
27,xgboost,minmax,smote,xgboost,,,0.24961375361230112,0.26962482537378185,146.0,10.0,0.48290077628284633,,,,,,,,,,,,
28,extratrees,none,none,extratrees,,,0.273702722980575,0.0901066832750717,,,,,,,,,,,,,,119.0,7.0
29,extratrees,robust,smote,extratrees,,,0.2658469667467473,0.15593917184008693,,,,,,,,,,,,,,83.0,14.0
30,mlp,minmax,smote,mlp,,,0.2344595689280373,0.2950263533397464,,,,,,64,0.00023466263195250062,,,,,,,,
31,knn,none,smote,knn,,,0.15375817167727246,0.24134615384615385,,,,,,,,26.0,,,,,,,
32,mlp,minmax,smote,mlp,,,0.22433526313283672,0.3521614391824201,,,,,,64_32,0.0014639396549099393,,,,,,,,
33,dtree,minmax,smote,dtree,,,0.16412588276668916,0.4539574412182234,,,,10.0,3.0,,,,,,,,,,
34,lightgbm,none,smote,lightgbm,,,0.22904173682604242,0.21158482917892477,,,,,,,,,197.0,23.0,0.007677675918844064,,,,
35,xgboost,none,none,xgboost,,,0.23696676483309767,0.2243279483811663,139.0,5.0,0.49776153332938305,,,,,,,,,,,,
36,mlp,robust,none,mlp,,,0.2532844126829472,0.2652978397253181,,,,,,32,0.0022844354557995964,,,,,,,,
37,extratrees,robust,none,extratrees,,,0.23542590724473764,0.040230475479363155,,,,,,,,,,,,,,175.0,3.0
38,knn,robust,smote,knn,,,0.22305467136011284,0.26611111111111113,,,,,,,,15.0,,,,,,,
39,lightgbm,minmax,none,lightgbm,,,0.1871583553746833,0.03148947364166168,,,,,,,,,134.0,97.0,0.0019001969736558379,,,,
