trial,model_family,param_scaler,param_imbalance,param_model_family,mcc,phi,param_lr_C,param_lr_penalty,param_dt_max_depth,param_dt_min_samples_split,param_et_n_estimators,param_et_max_depth,param_rf_n_estimators,param_rf_max_depth,param_mlp_units,param_mlp_alpha,param_knn_k,param_lgb_n_estimators,param_lgb_num_leaves,param_lgb_lr,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_lr
0,nb,standard,none,nb,0.21240512986827356,0.24817333836969646,,,,,,,,,,,,,,,,,
1,logreg,none,smote,logreg,0.20950260727006856,0.1478683042972071,0.0031026598745141306,l2,,,,,,,,,,,,,,,
2,dtree,standard,none,dtree,0.19534088107929826,0.27819947423927266,,,7.0,4.0,,,,,,,,,,,,,
3,extratrees,standard,none,extratrees,0.2552942186073401,0.12387599968090868,,,,,116.0,13.0,,,,,,,,,,,
4,extratrees,standard,smote,extratrees,0.26055694424272446,0.11937899329564157,,,,,155.0,8.0,,,,,,,,,,,
5,dtree,robust,none,dtree,0.1605919432836996,0.46896227540380764,,,13.0,8.0,,,,,,,,,,,,,
6,rforest,robust,none,rforest,0.3034788673609928,0.1499098970479561,,,,,,,156.0,17.0,,,,,,,,,
7,nb,none,smote,nb,0.2161367660218391,0.25584646328947463,,,,,,,,,,,,,,,,,
8,logreg,robust,smote,logreg,0.2254207424127113,0.18136903592573184,0.6289048012408942,l2,,,,,,,,,,,,,,,
9,dtree,none,none,dtree,0.24029316065783868,0.19005744365737431,,,3.0,11.0,,,,,,,,,,,,,
10,mlp,robust,none,mlp,0.18374341944752548,0.424814530654136,,,,,,,,,64_32,5.939325546513371e-05,,,,,,,
11,nb,minmax,smote,nb,0.2124283990280058,0.2752369588140991,,,,,,,,,,,,,,,,,
12,extratrees,none,none,extratrees,0.27314919758596795,0.12095452965676345,,,,,191.0,16.0,,,,,,,,,,,
13,logreg,minmax,none,logreg,0.23184536814245238,0.0853897391971713,0.28266212078397884,l1,,,,,,,,,,,,,,,
14,mlp,minmax,none,mlp,0.2558132872635835,0.22400921479997157,,,,,,,,,64,0.020672035014253187,,,,,,,
15,rforest,standard,smote,rforest,0.2577591781339202,0.1822327843051276,,,,,,,77.0,12.0,,,,,,,,,
16,rforest,standard,none,rforest,0.3153141369653887,0.1596324925821374,,,,,,,123.0,14.0,,,,,,,,,
17,rforest,standard,none,rforest,0.3003297441360306,0.14338829060386224,,,,,,,104.0,8.0,,,,,,,,,
18,knn,robust,none,knn,0.23194026935685996,0.18296296296296297,,,,,,,,,,,9.0,,,,,,
19,mlp,standard,none,mlp,0.21725965219692464,0.3870324270813707,,,,,,,,,64_32,0.0629830902555282,,,,,,,
20,logreg,standard,none,logreg,0.2546263223747185,0.13789086219173183,0.17011051524893722,l2,,,,,,,,,,,,,,,
21,logreg,minmax,none,logreg,0.08802196184543605,0.011166560913155614,0.06803235210373015,l1,,,,,,,,,,,,,,,
22,nb,none,none,nb,0.217982345960362,0.25679783100057935,,,,,,,,,,,,,,,,,
23,dtree,minmax,none,dtree,0.24029316065783868,0.19005744365737431,,,3.0,10.0,,,,,,,,,,,,,
24,logreg,minmax,none,logreg,0.05650906098990083,-0.0001605426786522301,0.0036873096827621204,l2,,,,,,,,,,,,,,,
25,rforest,standard,none,rforest,0.2424387387546506,0.18659908275269635,,,,,,,20.0,18.0,,,,,,,,,
26,rforest,minmax,smote,rforest,0.25776021430167634,0.193405525291196,,,,,,,41.0,16.0,,,,,,,,,
27,knn,minmax,none,knn,0.13553136207797709,0.08916666666666667,,,,,,,,,,,28.0,,,,,,
28,nb,robust,smote,nb,0.20446744065196187,0.2991786256765688,,,,,,,,,,,,,,,,,
29,nb,robust,smote,nb,0.20446744065196187,0.3070792501130479,,,,,,,,,,,,,,,,,
30,lightgbm,none,smote,lightgbm,0.20731449940769586,0.05713454212820978,,,,,,,,,,,,183.0,62.0,0.001223256914702191,,,
31,logreg,minmax,none,logreg,0.26548387536776524,0.1365764698467962,4.471529038569673,l1,,,,,,,,,,,,,,,
32,mlp,minmax,none,mlp,0.22283150582116248,0.31114927544019017,,,,,,,,,64_32,0.01737620143973464,,,,,,,
33,rforest,minmax,none,rforest,0.3048446523851291,0.14559184491019098,,,,,,,141.0,8.0,,,,,,,,,
34,logreg,none,none,logreg,0.22497458597452383,0.10629121192817016,0.009879605816282088,l2,,,,,,,,,,,,,,,
35,nb,robust,smote,nb,0.20446744065196187,0.30342243132540486,,,,,,,,,,,,,,,,,
36,lightgbm,minmax,smote,lightgbm,0.23778134082741523,0.16188447040336632,,,,,,,,,,,,135.0,63.0,0.006273325553688583,,,
37,xgboost,standard,smote,xgboost,0.23400015383884085,0.11955635442088047,,,,,,,,,,,,,,,57.0,2.0,0.023489048936720037
38,extratrees,robust,smote,extratrees,0.27348779967859116,0.15519202534010015,,,,,59.0,15.0,,,,,,,,,,,
39,extratrees,minmax,none,extratrees,0.27470760159999025,0.12742758452451794,,,,,113.0,14.0,,,,,,,,,,,
