trial,model_family,param_scaler,param_imbalance,param_model_family,param_rf_n_estimators,param_rf_max_depth,mcc,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_lr,param_dt_max_depth,param_dt_min_samples_split,param_mlp_units,param_mlp_alpha,param_knn_k,param_lgb_n_estimators,param_lgb_num_leaves,param_lgb_lr,param_et_n_estimators,param_et_max_depth,param_lr_C,param_lr_penalty
0,rforest,standard,smote,rforest,35.0,3.0,0.22933706501705578,,,,,,,,,,,,,,,
1,xgboost,robust,none,xgboost,,,0.08240982893795075,102.0,7.0,0.0011238623122384508,,,,,,,,,,,,
2,dtree,robust,none,dtree,,,0.16220910284215986,,,,12.0,10.0,,,,,,,,,,
3,mlp,none,none,mlp,,,0.1638805561848277,,,,,,64,0.08050778165087023,,,,,,,,
4,knn,standard,smote,knn,,,0.20854098571406446,,,,,,,,18.0,,,,,,,
5,lightgbm,minmax,none,lightgbm,,,0.24825750989911696,,,,,,,,,153.0,97.0,0.004692208186011663,,,,
6,nb,standard,none,nb,,,0.21240512986827356,,,,,,,,,,,,,,,
7,rforest,minmax,smote,rforest,126.0,12.0,0.27348385053828655,,,,,,,,,,,,,,,
8,knn,robust,smote,knn,,,0.2124652978151972,,,,,,,,7.0,,,,,,,
9,lightgbm,minmax,none,lightgbm,,,0.2730989684404353,,,,,,,,,152.0,23.0,0.025483681661883566,,,,
10,rforest,minmax,smote,rforest,181.0,17.0,0.2849662181290391,,,,,,,,,,,,,,,
11,rforest,minmax,smote,rforest,171.0,16.0,0.28909461019755284,,,,,,,,,,,,,,,
12,mlp,minmax,smote,mlp,,,0.2107339807247646,,,,,,64_32,1.4298540752625308e-05,,,,,,,,
13,extratrees,none,smote,extratrees,,,0.22058680803761146,,,,,,,,,,,,55.0,12.0,,
14,logreg,minmax,smote,logreg,,,0.0,,,,,,,,,,,,,,0.00554706475058439,l1
15,rforest,none,smote,rforest,192.0,18.0,0.281161321395837,,,,,,,,,,,,,,,
16,rforest,robust,smote,rforest,182.0,17.0,0.2800738857382945,,,,,,,,,,,,,,,
17,xgboost,minmax,smote,xgboost,,,0.22142776543836495,194.0,2.0,0.43420958036284046,,,,,,,,,,,,
18,rforest,minmax,none,rforest,144.0,14.0,0.2804963092313925,,,,,,,,,,,,,,,
19,nb,minmax,smote,nb,,,0.2124283990280058,,,,,,,,,,,,,,,
20,dtree,minmax,smote,dtree,,,0.16762575490587342,,,,2.0,20.0,,,,,,,,,,
21,rforest,none,smote,rforest,198.0,18.0,0.27453883505214555,,,,,,,,,,,,,,,
22,lightgbm,none,smote,lightgbm,,,0.22463789488532707,,,,,,,,,42.0,7.0,0.40010980188953243,,,,
23,rforest,none,none,rforest,165.0,16.0,0.30345937517923827,,,,,,,,,,,,,,,
24,rforest,none,none,rforest,146.0,14.0,0.27532129013591294,,,,,,,,,,,,,,,
25,knn,none,none,knn,,,0.18733701031302696,,,,,,,,30.0,,,,,,,
26,rforest,minmax,smote,rforest,154.0,14.0,0.27571562338201744,,,,,,,,,,,,,,,
27,logreg,none,none,logreg,,,0.22497458597452383,,,,,,,,,,,,,,90.87964940420187,l2
28,rforest,standard,none,rforest,163.0,15.0,0.27734782526030116,,,,,,,,,,,,,,,
29,rforest,standard,smote,rforest,105.0,10.0,0.26235417446584913,,,,,,,,,,,,,,,
30,extratrees,minmax,smote,extratrees,,,0.21684477782939018,,,,,,,,,,,,174.0,3.0,,
31,xgboost,none,smote,xgboost,,,0.19846681565207822,30.0,9.0,0.02475072347560266,,,,,,,,,,,,
32,dtree,none,smote,dtree,,,0.13998049248635688,,,,20.0,2.0,,,,,,,,,,
33,nb,none,none,nb,,,0.217982345960362,,,,,,,,,,,,,,,
34,rforest,none,smote,rforest,184.0,18.0,0.28457707138421345,,,,,,,,,,,,,,,
35,extratrees,robust,none,extratrees,,,0.22765177033216946,,,,,,,,,,,,25.0,18.0,,
36,rforest,robust,none,rforest,173.0,16.0,0.2974636470879581,,,,,,,,,,,,,,,
37,rforest,robust,none,rforest,168.0,16.0,0.30488625778312695,,,,,,,,,,,,,,,
38,rforest,robust,none,rforest,165.0,15.0,0.28165479115320075,,,,,,,,,,,,,,,
39,logreg,robust,none,logreg,,,0.0,,,,,,,,,,,,,,0.0021260672442410125,l1
