trial,model_family,param_scaler,param_imbalance,param_model_family,mcc,param_lr_C,param_lr_penalty,param_dt_max_depth,param_dt_min_samples_split,param_et_n_estimators,param_et_max_depth,param_rf_n_estimators,param_rf_max_depth,param_knn_k,param_mlp_units,param_mlp_alpha,param_lgb_n_estimators,param_lgb_num_leaves,param_lgb_lr,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_lr
0,nb,standard,none,nb,0.21240512986827356,,,,,,,,,,,,,,,,,
1,logreg,none,smote,logreg,0.20950260727006856,0.0031026598745141306,l2,,,,,,,,,,,,,,,
2,dtree,standard,none,dtree,0.19534088107929826,,,7.0,4.0,,,,,,,,,,,,,
3,extratrees,standard,none,extratrees,0.2552942186073401,,,,,116.0,13.0,,,,,,,,,,,
4,extratrees,standard,smote,extratrees,0.26055694424272446,,,,,155.0,8.0,,,,,,,,,,,
5,dtree,robust,none,dtree,0.1605919432836996,,,13.0,8.0,,,,,,,,,,,,,
6,rforest,robust,none,rforest,0.3034788673609928,,,,,,,156.0,17.0,,,,,,,,,
7,nb,none,smote,nb,0.2161367660218391,,,,,,,,,,,,,,,,,
8,logreg,robust,smote,logreg,0.2254207424127113,0.6289048012408942,l2,,,,,,,,,,,,,,,
9,dtree,none,none,dtree,0.24029316065783868,,,3.0,11.0,,,,,,,,,,,,,
10,rforest,robust,none,rforest,0.2945429220322203,,,,,,,195.0,18.0,,,,,,,,,
11,rforest,robust,none,rforest,0.29643935721471243,,,,,,,183.0,18.0,,,,,,,,,
12,rforest,minmax,none,rforest,0.28691146231090897,,,,,,,175.0,18.0,,,,,,,,,
13,rforest,robust,smote,rforest,0.26831634105689767,,,,,,,97.0,10.0,,,,,,,,,
14,knn,robust,none,knn,0.24285255814528087,,,,,,,,,21.0,,,,,,,,
15,mlp,robust,none,mlp,0.2526910156076445,,,,,,,,,,32,0.00014366618880981075,,,,,,
16,lightgbm,robust,none,lightgbm,0.26505103413518677,,,,,,,,,,,,108.0,31.0,0.0745139571962572,,,
17,rforest,standard,none,rforest,0.3041924585308065,,,,,,,142.0,16.0,,,,,,,,,
18,rforest,standard,none,rforest,0.28781529312951365,,,,,,,118.0,13.0,,,,,,,,,
19,xgboost,none,none,xgboost,0.29035918412326733,,,,,,,,,,,,,,,145.0,2.0,0.027093681857395753
20,rforest,standard,smote,rforest,0.2777556136799323,,,,,,,134.0,13.0,,,,,,,,,
21,rforest,none,none,rforest,0.29495990470915434,,,,,,,160.0,17.0,,,,,,,,,
22,rforest,robust,none,rforest,0.2619061748867041,,,,,,,28.0,15.0,,,,,,,,,
23,mlp,minmax,smote,mlp,0.2234581934139053,,,,,,,,,,64_32,0.09322286424543001,,,,,,
24,logreg,standard,none,logreg,0.24429650567777825,83.26503160080387,l1,,,,,,,,,,,,,,,
25,extratrees,robust,none,extratrees,0.22833244534931954,,,,,22.0,18.0,,,,,,,,,,,
26,nb,minmax,none,nb,0.21379957656146117,,,,,,,,,,,,,,,,,
27,mlp,standard,none,mlp,0.2228020373425712,,,,,,,,,,64,1.535404415658601e-05,,,,,,
28,xgboost,robust,none,xgboost,0.034236095431716025,,,,,,,,,,,,,,,24.0,10.0,0.00100269612164432
29,logreg,robust,none,logreg,0.0,0.0014660045875451862,l1,,,,,,,,,,,,,,,
30,knn,standard,none,knn,0.13981259600386844,,,,,,,,,3.0,,,,,,,,
31,rforest,none,none,rforest,0.30031470137796973,,,,,,,157.0,17.0,,,,,,,,,
32,rforest,none,none,rforest,0.28383223579081635,,,,,,,152.0,3.0,,,,,,,,,
33,lightgbm,none,none,lightgbm,0.0512920564963201,,,,,,,,,,,,20.0,93.0,0.0013071441113524248,,,
34,nb,robust,none,nb,0.21240512986827356,,,,,,,,,,,,,,,,,
35,mlp,none,none,mlp,0.17598034307243857,,,,,,,,,,32,0.0301086373944858,,,,,,
36,rforest,none,smote,rforest,0.28551551972832956,,,,,,,166.0,16.0,,,,,,,,,
37,lightgbm,standard,none,lightgbm,0.22813141436921527,,,,,,,,,,,,199.0,14.0,0.4150941987190118,,,
38,knn,none,none,knn,0.18733701031302696,,,,,,,,,30.0,,,,,,,,
39,xgboost,minmax,smote,xgboost,0.24070854132326105,,,,,,,,,,,,,,,189.0,6.0,0.3787796671754466
