trial,model_family,param_scaler,param_imbalance,param_model_family,param_rf_n_estimators,param_rf_max_depth,mcc,phi,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_lr,param_dt_max_depth,param_dt_min_samples_split,param_mlp_units,param_mlp_alpha,param_knn_k,param_lgb_n_estimators,param_lgb_num_leaves,param_lgb_lr,param_lr_C,param_lr_penalty,param_et_n_estimators,param_et_max_depth
0,rforest,standard,smote,rforest,35.0,3.0,0.21101129546086092,0.11143308940644403,,,,,,,,,,,,,,,
1,xgboost,robust,none,xgboost,,,0.0459339737135299,0.002254262839754419,102.0,7.0,0.0011238623122384508,,,,,,,,,,,,
2,dtree,robust,none,dtree,,,0.13431602631053344,0.45030079291869596,,,,12.0,10.0,,,,,,,,,,
3,mlp,none,none,mlp,,,0.11791378628867827,0.3762148015994026,,,,,,64,0.08050778165087023,,,,,,,,
4,knn,standard,smote,knn,,,0.18562929340052828,0.24185185185185185,,,,,,,,18.0,,,,,,,
5,lightgbm,minmax,none,lightgbm,,,0.18067251220885558,0.08611579409890979,,,,,,,,,153.0,97.0,0.004692208186011663,,,,
6,nb,standard,none,nb,,,0.17939850626927925,0.33682234523698273,,,,,,,,,,,,,,,
7,rforest,minmax,smote,rforest,126.0,12.0,0.18300690282670717,0.15222251220477354,,,,,,,,,,,,,,,
8,knn,robust,smote,knn,,,0.1511116598288317,0.27071428571428574,,,,,,,,7.0,,,,,,,
9,lightgbm,minmax,none,lightgbm,,,0.1925469057706677,0.22441584658118274,,,,,,,,,152.0,23.0,0.025483681661883566,,,,
10,nb,robust,smote,nb,,,0.16649591993487428,0.3484692106632236,,,,,,,,,,,,,,,
11,dtree,minmax,none,dtree,,,0.11825545481069051,0.5055035196285197,,,,15.0,9.0,,,,,,,,,,
12,dtree,robust,smote,dtree,,,0.13165639909814697,0.36638432167782514,,,,13.0,17.0,,,,,,,,,,
13,rforest,standard,smote,rforest,96.0,8.0,0.1949154466124737,0.14480739201093934,,,,,,,,,,,,,,,
14,mlp,robust,smote,mlp,,,0.15997299578419913,0.39450470005843913,,,,,,64_32,2.156203475705173e-05,,,,,,,,
15,mlp,minmax,none,mlp,,,0.1883994918698867,0.26429477697926335,,,,,,64_32,8.449023263251553e-05,,,,,,,,
16,lightgbm,none,none,lightgbm,,,0.16579273919023307,0.3328937820587443,,,,,,,,,86.0,19.0,0.16552786058713873,,,,
17,logreg,standard,smote,logreg,,,0.182287470458947,0.16963353651864635,,,,,,,,,,,,4.245920136444837,l2,,
18,dtree,robust,smote,dtree,,,0.1326124174124298,0.38264705052083237,,,,14.0,15.0,,,,,,,,,,
19,logreg,robust,smote,logreg,,,0.0,0.0,,,,,,,,,,,,0.0016713272966410312,l1,,
20,nb,robust,none,nb,,,0.17939850626927925,0.35508276783938225,,,,,,,,,,,,,,,
21,dtree,none,smote,dtree,,,0.13384388361292132,0.3237759136531115,,,,17.0,20.0,,,,,,,,,,
22,dtree,minmax,none,dtree,,,0.11835207969047361,0.6004166666666666,,,,18.0,2.0,,,,,,,,,,
23,rforest,none,smote,rforest,22.0,9.0,0.20175938591683762,0.1760097762930325,,,,,,,,,,,,,,,
24,extratrees,robust,none,extratrees,,,0.1691719053144696,0.12647524058642082,,,,,,,,,,,,,,31.0,15.0
25,nb,minmax,none,nb,,,0.17939850626927925,0.35423247382049294,,,,,,,,,,,,,,,
26,dtree,robust,none,dtree,,,0.12170378579791767,0.5384444444444445,,,,18.0,7.0,,,,,,,,,,
27,xgboost,minmax,smote,xgboost,,,0.17686748343140243,0.20664141557547433,146.0,10.0,0.48290077628284633,,,,,,,,,,,,
28,extratrees,none,none,extratrees,,,0.1890805956450274,0.0756295304322087,,,,,,,,,,,,,,119.0,7.0
29,extratrees,robust,smote,extratrees,,,0.18804827458768228,0.13143768423728208,,,,,,,,,,,,,,83.0,14.0
30,mlp,minmax,smote,mlp,,,0.2040290683289465,0.24416095598195411,,,,,,64,0.00023466263195250062,,,,,,,,
31,knn,none,smote,knn,,,0.1300979959081399,0.2223076923076923,,,,,,,,26.0,,,,,,,
32,mlp,minmax,smote,mlp,,,0.17646937879001215,0.33119703579415233,,,,,,64_32,0.0014639396549099393,,,,,,,,
33,dtree,minmax,smote,dtree,,,0.14073515979743398,0.4669343407393942,,,,10.0,3.0,,,,,,,,,,
34,lightgbm,none,smote,lightgbm,,,0.19069716333882245,0.17527673268435118,,,,,,,,,197.0,23.0,0.007677675918844064,,,,
35,xgboost,none,none,xgboost,,,0.17755074549023522,0.2253081983484905,139.0,5.0,0.49776153332938305,,,,,,,,,,,,
36,mlp,robust,none,mlp,,,0.1892472768932263,0.25557898763167575,,,,,,32,0.0022844354557995964,,,,,,,,
37,extratrees,robust,none,extratrees,,,0.1612205821072495,0.03727513042473462,,,,,,,,,,,,,,175.0,3.0
38,knn,robust,smote,knn,,,0.19761039359065954,0.23222222222222225,,,,,,,,15.0,,,,,,,
39,lightgbm,minmax,none,lightgbm,,,0.16115068769485866,0.019264737748288043,,,,,,,,,134.0,97.0,0.0019001969736558379,,,,
