trial,model_family,param_scaler,param_imbalance,param_model_family,mcc,phi,param_lr_C,param_lr_penalty,param_dt_max_depth,param_dt_min_samples_split,param_et_n_estimators,param_et_max_depth,param_rf_n_estimators,param_rf_max_depth,param_mlp_units,param_mlp_alpha,param_knn_k,param_lgb_n_estimators,param_lgb_num_leaves,param_lgb_lr,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_lr
0,nb,standard,none,nb,0.17939850626927925,0.3008644113125145,,,,,,,,,,,,,,,,,
1,logreg,none,smote,logreg,0.1789011808673774,0.1358934597138812,0.0031026598745141306,l2,,,,,,,,,,,,,,,
2,dtree,standard,none,dtree,0.1684739809998584,0.32273087444324144,,,7.0,4.0,,,,,,,,,,,,,
3,extratrees,standard,none,extratrees,0.19312547205084432,0.11070761235378028,,,,,116.0,13.0,,,,,,,,,,,
4,extratrees,standard,smote,extratrees,0.2137491999202523,0.10621565436536189,,,,,155.0,8.0,,,,,,,,,,,
5,dtree,robust,none,dtree,0.12127204781952715,0.47479655247946734,,,13.0,8.0,,,,,,,,,,,,,
6,rforest,robust,none,rforest,0.21689588641605337,0.13602467570878876,,,,,,,156.0,17.0,,,,,,,,,
7,nb,none,smote,nb,0.17337300979321,0.28111318345698005,,,,,,,,,,,,,,,,,
8,logreg,robust,smote,logreg,0.19643182538078774,0.16588556923399686,0.6289048012408942,l2,,,,,,,,,,,,,,,
9,dtree,none,none,dtree,0.1516678635874593,0.13643965213140977,,,3.0,11.0,,,,,,,,,,,,,
10,mlp,robust,none,mlp,0.17516856077870369,0.4200065655255174,,,,,,,,,64_32,5.939325546513371e-05,,,,,,,
11,nb,minmax,smote,nb,0.17763427050144368,0.2865215612832474,,,,,,,,,,,,,,,,,
12,extratrees,none,none,extratrees,0.18725629027770627,0.10387480622819506,,,,,191.0,16.0,,,,,,,,,,,
13,logreg,minmax,none,logreg,0.1905079701782263,0.07679752201478414,0.28266212078397884,l1,,,,,,,,,,,,,,,
14,mlp,minmax,none,mlp,0.199642679932755,0.19400158700554568,,,,,,,,,64,0.020672035014253187,,,,,,,
15,rforest,standard,smote,rforest,0.1960321682007722,0.15029468234789692,,,,,,,77.0,12.0,,,,,,,,,
16,rforest,standard,none,rforest,0.21480525600421174,0.1385980893289047,,,,,,,123.0,14.0,,,,,,,,,
17,rforest,standard,none,rforest,0.1882181305360308,0.11999466513695234,,,,,,,104.0,8.0,,,,,,,,,
18,knn,robust,none,knn,0.18424830480954987,0.1677777777777778,,,,,,,,,,,9.0,,,,,,
19,mlp,standard,none,mlp,0.15357736016709292,0.4550481883305253,,,,,,,,,64_32,0.0629830902555282,,,,,,,
20,logreg,standard,none,logreg,0.18669229399581003,0.11438365421347423,0.17011051524893722,l2,,,,,,,,,,,,,,,
21,logreg,minmax,none,logreg,0.012678782277014883,0.0013232342287436347,0.06803235210373015,l1,,,,,,,,,,,,,,,
22,nb,none,none,nb,0.17939850626927925,0.29339064713845225,,,,,,,,,,,,,,,,,
23,dtree,minmax,none,dtree,0.1516678635874593,0.13643965213140977,,,3.0,10.0,,,,,,,,,,,,,
24,logreg,minmax,none,logreg,0.017795609522788,-0.0011895224533916935,0.0036873096827621204,l2,,,,,,,,,,,,,,,
25,rforest,standard,none,rforest,0.1729355431772174,0.15197483278262267,,,,,,,20.0,18.0,,,,,,,,,
26,rforest,minmax,smote,rforest,0.19350626516286853,0.1449539228056868,,,,,,,41.0,16.0,,,,,,,,,
27,knn,minmax,none,knn,0.12640893848185603,0.10821428571428571,,,,,,,,,,,28.0,,,,,,
28,nb,robust,smote,nb,0.16649591993487428,0.3139488178303672,,,,,,,,,,,,,,,,,
29,nb,robust,smote,nb,0.16649591993487428,0.31438702821611786,,,,,,,,,,,,,,,,,
30,lightgbm,none,smote,lightgbm,0.17029928586058737,0.047911539856666886,,,,,,,,,,,,183.0,62.0,0.001223256914702191,,,
31,logreg,minmax,none,logreg,0.1834180832025889,0.10471463479223893,4.471529038569673,l1,,,,,,,,,,,,,,,
32,mlp,minmax,none,mlp,0.18808323091989132,0.28043236408279953,,,,,,,,,64_32,0.01737620143973464,,,,,,,
33,rforest,minmax,none,rforest,0.20287119191219197,0.12020892333006795,,,,,,,141.0,8.0,,,,,,,,,
34,logreg,none,none,logreg,0.15015136163023443,0.08552053786420484,0.009879605816282088,l2,,,,,,,,,,,,,,,
35,nb,robust,smote,nb,0.16649591993487428,0.3251577047950496,,,,,,,,,,,,,,,,,
36,lightgbm,minmax,smote,lightgbm,0.18408157412746315,0.13621167163756423,,,,,,,,,,,,135.0,63.0,0.006273325553688583,,,
37,xgboost,standard,smote,xgboost,0.2070043179026143,0.093409032287697,,,,,,,,,,,,,,,57.0,2.0,0.023489048936720037
38,extratrees,robust,smote,extratrees,0.18936211009246517,0.12546835345045196,,,,,59.0,15.0,,,,,,,,,,,
39,extratrees,minmax,none,extratrees,0.18107952081579573,0.10615759267215087,,,,,113.0,14.0,,,,,,,,,,,
