trial,model_family,param_scaler,param_imbalance,param_model_family,param_rf_n_estimators,param_rf_max_depth,mcc,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_lr,param_dt_max_depth,param_dt_min_samples_split,param_mlp_units,param_mlp_alpha,param_knn_k,param_lgb_n_estimators,param_lgb_num_leaves,param_lgb_lr,param_lr_C,param_lr_penalty,param_et_n_estimators,param_et_max_depth
0,rforest,standard,smote,rforest,35.0,3.0,0.21101129546086092,,,,,,,,,,,,,,,
1,xgboost,robust,none,xgboost,,,0.0459339737135299,102.0,7.0,0.0011238623122384508,,,,,,,,,,,,
2,dtree,robust,none,dtree,,,0.13431602631053344,,,,12.0,10.0,,,,,,,,,,
3,mlp,none,none,mlp,,,0.11791378628867827,,,,,,64,0.08050778165087023,,,,,,,,
4,knn,standard,smote,knn,,,0.18562929340052828,,,,,,,,18.0,,,,,,,
5,lightgbm,minmax,none,lightgbm,,,0.18067251220885558,,,,,,,,,153.0,97.0,0.004692208186011663,,,,
6,nb,standard,none,nb,,,0.17939850626927925,,,,,,,,,,,,,,,
7,rforest,minmax,smote,rforest,126.0,12.0,0.18300690282670717,,,,,,,,,,,,,,,
8,knn,robust,smote,knn,,,0.1511116598288317,,,,,,,,7.0,,,,,,,
9,lightgbm,minmax,none,lightgbm,,,0.1925469057706677,,,,,,,,,152.0,23.0,0.025483681661883566,,,,
10,rforest,standard,smote,rforest,23.0,3.0,0.20872367456167115,,,,,,,,,,,,,,,
11,rforest,standard,smote,rforest,24.0,3.0,0.20749861495266253,,,,,,,,,,,,,,,
12,logreg,standard,smote,logreg,,,0.21329203519770243,,,,,,,,,,,,0.04983432097135726,l1,,
13,logreg,standard,smote,logreg,,,0.14120282549917892,,,,,,,,,,,,0.011306419337412955,l1,,
14,logreg,robust,smote,logreg,,,0.19807649160933358,,,,,,,,,,,,1.2101495150102979,l1,,
15,logreg,none,smote,logreg,,,0.17993616346096877,,,,,,,,,,,,66.66489080122965,l2,,
16,extratrees,standard,smote,extratrees,,,0.20533395034978152,,,,,,,,,,,,,,157.0,12.0
17,logreg,standard,none,logreg,,,0.0,,,,,,,,,,,,0.0012246251720832017,l1,,
18,mlp,minmax,smote,mlp,,,0.17424980373037033,,,,,,64_32,1.0378236697772798e-05,,,,,,,,
19,xgboost,standard,smote,xgboost,,,0.16742505098518282,192.0,2.0,0.49395289742110093,,,,,,,,,,,,
20,lightgbm,none,smote,lightgbm,,,0.15759602288822805,,,,,,,,,28.0,7.0,0.4018759368296415,,,,
21,rforest,standard,none,rforest,20.0,3.0,0.1655452414207763,,,,,,,,,,,,,,,
22,rforest,none,smote,rforest,55.0,3.0,0.21430179352332543,,,,,,,,,,,,,,,
23,rforest,none,none,rforest,95.0,8.0,0.2004056258243538,,,,,,,,,,,,,,,
24,rforest,none,smote,rforest,87.0,8.0,0.21807807640246032,,,,,,,,,,,,,,,
25,rforest,none,smote,rforest,83.0,9.0,0.19117011064690873,,,,,,,,,,,,,,,
26,nb,none,smote,nb,,,0.17337300979321,,,,,,,,,,,,,,,
27,extratrees,none,smote,extratrees,,,0.1800141991645466,,,,,,,,,,,,,,36.0,3.0
28,dtree,none,smote,dtree,,,0.17758250469330858,,,,2.0,20.0,,,,,,,,,,
29,rforest,none,smote,rforest,80.0,8.0,0.20926583643332775,,,,,,,,,,,,,,,
30,logreg,minmax,smote,logreg,,,0.17800204248371587,,,,,,,,,,,,0.24314033817463404,l2,,
31,mlp,standard,smote,mlp,,,0.17116016274429602,,,,,,32,0.0020759620835871825,,,,,,,,
32,dtree,standard,smote,dtree,,,0.11336308237902275,,,,20.0,2.0,,,,,,,,,,
33,xgboost,none,smote,xgboost,,,0.1795435486477892,44.0,10.0,0.020342094862328144,,,,,,,,,,,,
34,lightgbm,standard,smote,lightgbm,,,0.19278336705794527,,,,,,,,,21.0,75.0,0.48606239637334675,,,,
35,rforest,robust,smote,rforest,61.0,18.0,0.18403728477578643,,,,,,,,,,,,,,,
36,mlp,none,smote,mlp,,,0.09641752329548003,,,,,,32,4.888924885553496e-05,,,,,,,,
37,nb,standard,smote,nb,,,0.167547026226098,,,,,,,,,,,,,,,
38,knn,none,none,knn,,,0.12965607198250395,,,,,,,,28.0,,,,,,,
39,knn,none,smote,knn,,,0.06293439402846358,,,,,,,,4.0,,,,,,,
