trial,model_family,param_scaler,param_imbalance,param_model_family,mcc,param_lr_C,param_lr_penalty,param_dt_max_depth,param_dt_min_samples_split,param_et_n_estimators,param_et_max_depth,param_rf_n_estimators,param_rf_max_depth,param_lgb_n_estimators,param_lgb_num_leaves,param_lgb_lr,param_knn_k,param_mlp_units,param_mlp_alpha,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_lr
0,nb,standard,none,nb,0.17939850626927925,,,,,,,,,,,,,,,,,
1,logreg,none,smote,logreg,0.1789011808673774,0.0031026598745141306,l2,,,,,,,,,,,,,,,
2,dtree,standard,none,dtree,0.1684739809998584,,,7.0,4.0,,,,,,,,,,,,,
3,extratrees,standard,none,extratrees,0.19312547205084432,,,,,116.0,13.0,,,,,,,,,,,
4,extratrees,standard,smote,extratrees,0.2137491999202523,,,,,155.0,8.0,,,,,,,,,,,
5,dtree,robust,none,dtree,0.12127204781952715,,,13.0,8.0,,,,,,,,,,,,,
6,rforest,robust,none,rforest,0.21689588641605337,,,,,,,156.0,17.0,,,,,,,,,
7,nb,none,smote,nb,0.17337300979321,,,,,,,,,,,,,,,,,
8,logreg,robust,smote,logreg,0.19643182538078774,0.6289048012408942,l2,,,,,,,,,,,,,,,
9,dtree,none,none,dtree,0.1516678635874593,,,3.0,11.0,,,,,,,,,,,,,
10,rforest,robust,none,rforest,0.21613856939916434,,,,,,,195.0,18.0,,,,,,,,,
11,rforest,robust,none,rforest,0.2176939961615653,,,,,,,183.0,18.0,,,,,,,,,
12,rforest,minmax,none,rforest,0.2229414320435731,,,,,,,175.0,18.0,,,,,,,,,
13,rforest,minmax,smote,rforest,0.18083065742402646,,,,,,,175.0,18.0,,,,,,,,,
14,lightgbm,minmax,none,lightgbm,0.1731230326860003,,,,,,,,,135.0,17.0,0.011312910862380116,,,,,,
15,rforest,minmax,none,rforest,0.1862094756914301,,,,,,,65.0,8.0,,,,,,,,,
16,rforest,none,none,rforest,0.19728674658829815,,,,,,,135.0,14.0,,,,,,,,,
17,knn,minmax,none,knn,0.13355834181140913,,,,,,,,,,,,31.0,,,,,
18,mlp,minmax,none,mlp,0.18473380878472065,,,,,,,,,,,,,64_32,1.3829416299978914e-05,,,
19,xgboost,robust,none,xgboost,0.19128962986495743,,,,,,,,,,,,,,,145.0,2.0,0.027093681857395753
20,knn,robust,smote,knn,0.159666410125931,,,,,,,,,,,,6.0,,,,,
21,lightgbm,robust,none,lightgbm,0.16213982456248252,,,,,,,,,29.0,93.0,0.44607271300161483,,,,,,
22,rforest,standard,none,rforest,0.21776453958666106,,,,,,,152.0,18.0,,,,,,,,,
23,rforest,standard,none,rforest,0.2154654180372709,,,,,,,130.0,15.0,,,,,,,,,
24,logreg,standard,none,logreg,0.1744195014164596,83.26503160080387,l1,,,,,,,,,,,,,,,
25,xgboost,minmax,smote,xgboost,0.15281222835347058,,,,,,,,,,,,,,,22.0,10.0,0.0010955084074226456
26,xgboost,standard,none,xgboost,0.16409843868294863,,,,,,,,,,,,,,,196.0,6.0,0.44185939198480817
27,nb,robust,none,nb,0.17939850626927925,,,,,,,,,,,,,,,,,
28,rforest,standard,smote,rforest,0.18853015993942712,,,,,,,200.0,14.0,,,,,,,,,
29,logreg,minmax,none,logreg,0.0,0.003680065897055927,l1,,,,,,,,,,,,,,,
30,knn,none,none,knn,0.06164124406701307,,,,,,,,,,,,4.0,,,,,
31,rforest,robust,smote,rforest,0.18130071196530337,,,,,,,148.0,18.0,,,,,,,,,
32,rforest,robust,none,rforest,0.21646568995920187,,,,,,,163.0,18.0,,,,,,,,,
33,mlp,robust,none,mlp,0.18209214716100178,,,,,,,,,,,,,64,0.06700378440890928,,,
34,rforest,standard,none,rforest,0.19933023239505032,,,,,,,162.0,16.0,,,,,,,,,
35,knn,robust,none,knn,0.19798553312815645,,,,,,,,,,,,24.0,,,,,
36,nb,minmax,none,nb,0.17939850626927925,,,,,,,,,,,,,,,,,
37,lightgbm,standard,none,lightgbm,0.1502950939522197,,,,,,,,,200.0,15.0,0.001622033601971215,,,,,,
38,logreg,robust,none,logreg,0.17748681097483868,72.66517785875581,l1,,,,,,,,,,,,,,,
39,extratrees,robust,none,extratrees,0.16459025060892077,,,,,20.0,3.0,,,,,,,,,,,
