rule,trial,model_family,mcc,phi,station
knee_point,14,mlp,0.2243748501739365,0.3988515927218315,Dongsi
max_mcc,29,extratrees,0.2358672815908356,0.1363860863292315,Dongsi
max_phi,22,dtree,0.095357703656868,0.5895386904761905,Dongsi
knee_point,14,mlp,0.2100501810858388,0.4504258171687854,Huairou
max_mcc,13,rforest,0.2759629522128968,0.1829745194425902,Huairou
max_phi,22,dtree,0.1282302435536284,0.5737575757575758,Huairou
knee_point,20,nb,0.1793985062692792,0.3550827678393822,Wanshouxigong
max_mcc,0,rforest,0.2110112954608609,0.111433089406444,Wanshouxigong
max_phi,22,dtree,0.1183520796904736,0.6004166666666666,Wanshouxigong
knee_point,16,lightgbm,0.2177112950553442,0.441396205645389,Dingling
max_mcc,0,rforest,0.2756961601944605,0.1290613203846006,Dingling
max_phi,22,dtree,0.1557865171858264,0.6510256410256411,Dingling
